report_id/id,id,name,description,type,compare_method,style_id/id,sequence,auto_expand_accounts,accumulation_method,multi
mis_report_bc_cr,mis_report_bc_cr_K1,K1,ACTIVO                                                      ,Numeric,Percentage,l10n_cr_mis_reports.level1,10,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01,K1_01,  ACTIVO CORRIENTE                                            ,Numeric,Percentage,l10n_cr_mis_reports.level2,11,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_01,K1_01_01,    Efectivo,Numeric,Percentage,l10n_cr_mis_reports.level3,12,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_02,K1_01_02,    BANCOS                                                      ,Numeric,Percentage,l10n_cr_mis_reports.level3,13,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_02_01,K1_01_02_01,      BAC  SAN JOSE                                               ,Numeric,Percentage,l10n_cr_mis_reports.level4,14,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_02_02,K1_01_02_02,      BNCR                                                        ,Numeric,Percentage,l10n_cr_mis_reports.level4,15,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_03,K1_01_03,    INVERSIONES                                                 ,Numeric,Percentage,l10n_cr_mis_reports.level3,16,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_05,K1_01_05,    CUENTAS POR COBRAR                                          ,Numeric,Percentage,l10n_cr_mis_reports.level3,17,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_05_01,K1_01_05_01,      Cuentas por Cobrar Cliente                                  ,Numeric,Percentage,l10n_cr_mis_reports.level4,18,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_05_02,K1_01_05_02,      Cuentas por cobrar- Compañias                               ,Numeric,Percentage,l10n_cr_mis_reports.level4,19,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_05_03,K1_01_05_03,      Otras Cuentas por Cobrar                                    ,Numeric,Percentage,l10n_cr_mis_reports.level4,20,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_05_04,K1_01_05_04,Cuentas por Cobrar Cliente - Enlace,Numeric,Percentage,l10n_cr_mis_reports.level4,21,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_01_10,K1_01_10,    INVENTARIOS                                                 ,Numeric,Percentage,l10n_cr_mis_reports.level3,22,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02,K1_02,  ACTIVO NO CORRIENTE                                         ,Numeric,Percentage,l10n_cr_mis_reports.level2,23,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_01,K1_02_01,    Terreno                                                     ,Numeric,Percentage,l10n_cr_mis_reports.level3,24,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_02,K1_02_02,    Edificio                                                    ,Numeric,Percentage,l10n_cr_mis_reports.level3,25,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_03,K1_02_03,    Vehiculos                                                   ,Numeric,Percentage,l10n_cr_mis_reports.level3,26,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_04,K1_02_04,    Mobiliario y Equipo                                         ,Numeric,Percentage,l10n_cr_mis_reports.level3,27,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_05,K1_02_05,    Equipo de Computo                                           ,Numeric,Percentage,l10n_cr_mis_reports.level3,28,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_06,K1_02_06,    Mejoras a la Propiedad Arrendada                            ,Numeric,Percentage,l10n_cr_mis_reports.level3,29,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_07,K1_02_07,    Maquinaria                                                  ,Numeric,Percentage,l10n_cr_mis_reports.level3,30,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_02_08,K1_02_08,Moldes / Moldetas,Numeric,Percentage,l10n_cr_mis_reports.level3,31,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03,K1_03,  OTROS ACTIVOS                                               ,Numeric,Percentage,l10n_cr_mis_reports.level2,32,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_01,K1_03_01,    Gastos Diferidos                                            ,Numeric,Percentage,l10n_cr_mis_reports.level3,33,0,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_01_02,K1_03_01_02,      Ministerio de Hacienda                                      ,Numeric,Percentage,l10n_cr_mis_reports.level4,34,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_01_03,K1_03_01_03,      Gastos pagados por adelantado                               ,Numeric,Percentage,l10n_cr_mis_reports.level4,35,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_01_04,K1_03_01_04,      Seguros                                                     ,Numeric,Percentage,l10n_cr_mis_reports.level4,36,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_02,K1_03_02,    Depósitos en Garantía                                       ,Numeric,Percentage,l10n_cr_mis_reports.level3,37,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_03,K1_03_03,    Obras en Proceso                                            ,Numeric,Percentage,l10n_cr_mis_reports.level3,38,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_04,K1_03_04,    Gastos Preoperativos                                        ,Numeric,Percentage,l10n_cr_mis_reports.level3,39,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K1_03_05,K1_03_05,    IVA Soportado                                               ,Numeric,Percentage,l10n_cr_mis_reports.level3,40,1,Sum,1
mis_report_bc_cr,mis_report_bc_cr_K2,K2,PASIVOS                                                     ,Numeric,Percentage,l10n_cr_mis_reports.level1,41,0,Sum,1
