id,report_id/id,name,description,expression,type,compare_method,style_id/id,sequence,auto_expand_accounts
mis_report_bs_cr_K1,mis_report_bs_cr,K1,ACTIVO                                                      ,K1_01+K1_02+K1_03,num,pct,level1,10,
mis_report_bs_cr_K1_01,mis_report_bs_cr,K1_01,  ACTIVO CORRIENTE                                            ,K1_01_01+K1_01_01_01+K1_01_02,num,pct,level2,20,
mis_report_bs_cr_K1_01_01,mis_report_bs_cr,K1_01_01,    Efectivo,bale[1.01.01%],num,pct,level3,30,1
mis_report_bs_cr_K1_01_02,mis_report_bs_cr,K1_01_02,    BANCOS                                                      ,K1_01_02_01+K1_01_02_02,num,pct,level3,70,
mis_report_bs_cr_K1_01_02_01,mis_report_bs_cr,K1_01_02_01,      BAC  SAN JOSE                                               ,bale[1.01.02.01%],num,pct,level4,80,1
mis_report_bs_cr_K1_01_02_02,mis_report_bs_cr,K1_01_02_02,      BNCR                                                        ,bale[1.01.02.02%],num,pct,level4,130,1
mis_report_bs_cr_K1_01_03,mis_report_bs_cr,K1_01_03,    INVERSIONES                                                 ,bale[1.01.03%],num,pct,level3,160,1
mis_report_bs_cr_K1_01_05,mis_report_bs_cr,K1_01_05,    CUENTAS POR COBRAR                                          ,K1_01_05_01+K1_01_05_02+K1_01_05_03,num,pct,level3,170,
mis_report_bs_cr_K1_01_05_01,mis_report_bs_cr,K1_01_05_01,      Cuentas por Cobrar Cliente                                  ,bale[1.01.05.01%],num,pct,level4,180,1
mis_report_bs_cr_K1_01_05_02,mis_report_bs_cr,K1_01_05_02,      Cuentas por cobrar- Compañias                               ,bale[1.01.05.02%],num,pct,level4,190,1
mis_report_bs_cr_K1_01_05_03,mis_report_bs_cr,K1_01_05_03,      Otras Cuentas por Cobrar                                    ,bale[1.01.05.03%],num,pct,level4,200,1
mis_report_bs_cr_K1_01_10,mis_report_bs_cr,K1_01_10,    INVENTARIOS                                                 ,bale[1.01.10%],num,pct,level3,240,1
mis_report_bs_cr_K1_02,mis_report_bs_cr,K1_02,  ACTIVO NO CORRIENTE                                         ,K1_02_01+K1_02_02+K1_02_03+K1_02_04+K1_02_05+K1_02_06+K1_02_07,num,pct,level2,270,
mis_report_bs_cr_K1_02_01,mis_report_bs_cr,K1_02_01,    Terreno                                                     ,bale[1.02.01%],num,pct,level3,280,1
mis_report_bs_cr_K1_02_02,mis_report_bs_cr,K1_02_02,    Edificio                                                    ,bale[1.02.02%],num,pct,level3,290,1
mis_report_bs_cr_K1_02_03,mis_report_bs_cr,K1_02_03,    Vehiculos                                                   ,bale[1.02.03%],num,pct,level3,320,1
mis_report_bs_cr_K1_02_04,mis_report_bs_cr,K1_02_04,    Mobiliario y Equipo                                         ,bale[1.02.04%],num,pct,level3,350,1
mis_report_bs_cr_K1_02_05,mis_report_bs_cr,K1_02_05,    Equipo de Computo                                           ,bale[1.02.05%],num,pct,level3,380,1
mis_report_bs_cr_K1_02_06,mis_report_bs_cr,K1_02_06,    Mejoras a la Propiedad Arrendada                            ,bale[1.02.06%],num,pct,level3,410,1
mis_report_bs_cr_K1_02_07,mis_report_bs_cr,K1_02_07,    Maquinaria                                                  ,bale[1.02.07%],num,pct,level3,440,1
mis_report_bs_cr_K1_03,mis_report_bs_cr,K1_03,  OTROS ACTIVOS                                               ,K1_03_01+K1_03_02+K1_03_03+K1_03_04+K1_03_05,num,pct,level2,470,
mis_report_bs_cr_K1_03_01,mis_report_bs_cr,K1_03_01,    Gastos Diferidos                                            ,K1_03_01_02+K1_03_01_03+K1_03_01_04,num,pct,level3,480,
mis_report_bs_cr_K1_03_01_02,mis_report_bs_cr,K1_03_01_02,      Ministerio de Hacienda                                      ,bale[1.03.01.02%],num,pct,level4,490,1
mis_report_bs_cr_K1_03_01_03,mis_report_bs_cr,K1_03_01_03,      Gastos pagados por adelantado                               ,bale[1.03.01.03%],num,pct,level4,530,1
mis_report_bs_cr_K1_03_01_04,mis_report_bs_cr,K1_03_01_04,      Seguros                                                     ,bale[1.03.01.04%],num,pct,level4,540,1
mis_report_bs_cr_K1_03_02,mis_report_bs_cr,K1_03_02,    Depósitos en Garantía                                       ,bale[1.03.02%],num,pct,level3,590,1
mis_report_bs_cr_K1_03_03,mis_report_bs_cr,K1_03_03,    Obras en Proceso                                            ,bale[1.03.03%],num,pct,level3,620,1
mis_report_bs_cr_K1_03_04,mis_report_bs_cr,K1_03_04,    Gastos Preoperativos                                        ,bale[1.03.04%],num,pct,level3,640,1
mis_report_bs_cr_K1_03_05,mis_report_bs_cr,K1_03_05,    IVA Soportado                                               ,bale[1.03.05%],num,pct,level3,670,1
mis_report_bs_cr_K2,mis_report_bs_cr,K2,PASIVOS                                                     ,K2_01+K2_02,num,pct,level1,730,
mis_report_bs_cr_K2_01,mis_report_bs_cr,K2_01,  PASIVO CORRIENTE                                            ,K2_01_01+K2_01_09_08,num,pct,level2,740,
mis_report_bs_cr_K2_01_01,mis_report_bs_cr,K2_01_01,    Cuentas por Pagar                                           ,K2_01_01_01+K2_01_01_03+K2_01_01_04+K2_01_01_05+K2_01_01_08+K2_01_01_09+K2_01_01_10+K2_01_01_10,num,pct,level3,750,
mis_report_bs_cr_K2_01_01_01,mis_report_bs_cr,K2_01_01_01,      Cuentas por Pagar Proveedores                               ,bale[2.01.01.01%],num,pct,level4,760,1
mis_report_bs_cr_K2_01_01_03,mis_report_bs_cr,K2_01_01_03,      Cuentas por pagar compañias                                 ,bale[2.01.01.03%],num,pct,level4,770,1
mis_report_bs_cr_K2_01_01_04,mis_report_bs_cr,K2_01_01_04,      INGRESOS PERCIBIDOS POR ADELANTADO                          ,bale[2.01.01.04%],num,pct,level4,780,1
mis_report_bs_cr_K2_01_01_05,mis_report_bs_cr,K2_01_01_05,      Impuestos por Pagar                                         ,bale[2.01.01.05%],num,pct,level4,790,1
mis_report_bs_cr_K2_01_01_08,mis_report_bs_cr,K2_01_01_08,      Cajas Chicas Por Pagar                                      ,bale[2.01.01.08%],num,pct,level4,840,1
mis_report_bs_cr_K2_01_01_09,mis_report_bs_cr,K2_01_01_09,      Otras Cuentas por Pagar                                     ,K2_01_01_09_01+K2_01_01_09_02+K2_01_01_09_03+K2_01_01_09_04+K2_01_01_09_06+K2_01_01_09_07+K2_01_01_09_08+K2_01_01_09_09+K2_01_01_09_10,num,pct,level4,850,
mis_report_bs_cr_K2_01_01_09_01,mis_report_bs_cr,K2_01_01_09_01,        C.C.S.S.                                                    ,bale[2.01.01.09.01%],num,pct,level5,860,1
mis_report_bs_cr_K2_01_01_09_02,mis_report_bs_cr,K2_01_01_09_02,        Provisiones                                                 ,bale[2.01.01.09.02%],num,pct,level5,870,1
mis_report_bs_cr_K2_01_01_09_03,mis_report_bs_cr,K2_01_01_09_03,        Empleados                                                   ,bale[2.01.01.09.03%],num,pct,level5,900,1
mis_report_bs_cr_K2_01_01_09_04,mis_report_bs_cr,K2_01_01_09_04,        Documento por Pagar a Corto Plazo                           ,bale[2.01.01.09.04%],num,pct,level5,910,1
mis_report_bs_cr_K2_01_01_09_06,mis_report_bs_cr,K2_01_01_09_06,        Salarios Por Pagar                                          ,bale[2.01.01.09.06%],num,pct,level5,920,1
mis_report_bs_cr_K2_01_01_09_07,mis_report_bs_cr,K2_01_01_09_07,        Aguinaldo Acum por pagar                                    ,bale[2.01.01.09.07%],num,pct,level5,930,1
mis_report_bs_cr_K2_01_01_09_08,mis_report_bs_cr,K2_01_01_09_08,        Vacaciones Acum por Pagar                                   ,bale[2.01.01.09.08%],num,pct,level5,940,1
mis_report_bs_cr_K2_01_01_09_09,mis_report_bs_cr,K2_01_01_09_09,        Prestaciones Legales por Pagar                              ,bale[2.01.01.09.09%],num,pct,level5,950,1
mis_report_bs_cr_K2_01_01_09_10,mis_report_bs_cr,K2_01_01_09_10,        Embargos Por Pagar                                          ,bale[2.01.01.09.10%],num,pct,level5,960,1
mis_report_bs_cr_K2_01_01_10,mis_report_bs_cr,K2_01_01_10,      Cuenta por pagar Socios                                     ,bale[2.01.01.10%],num,pct,level4,970,1
mis_report_bs_cr_K2_01_09_08,mis_report_bs_cr,K2_01_09_08,      ADELANTOS CLIENTES                                          ,bale[2.01.09.08%],num,pct,level4,980,1
mis_report_bs_cr_K2_02,mis_report_bs_cr,K2_02,  PASIVO LARGO PLAZO                                          ,bale[2.02%],num,pct,level2,1000,1
mis_report_bs_cr_K3,mis_report_bs_cr,K3,PATRIMONIO                                                  ,bale[3%],num,pct,level1,1020,1
mis_report_pg_cr_K4,mis_report_pg_cr,K4,INGRESOS                                                    ,K4_01+K4_02+K4_09,num,diff,level1,1070,
mis_report_pg_cr_K4_01,mis_report_pg_cr,K4_01,  VENTAS                                                      ,-balp[4.01%],num,diff,level2,1080,1
mis_report_pg_cr_K4_02,mis_report_pg_cr,K4_02,  SERVICIOS-INSTALACION-OTROS                                 ,-balp[4.02%],num,diff,level2,1130,1
